ID,代码,名称,策略类型,参数,总收益%,年化收益%,最大回撤%,夏普比率,最终权益,胜率%,总交易,盈利,亏损,盈亏比,K线数,数据起始,数据结束,回测时间
22,600028.SH,中国石化,macd,"MACD(12,26,9)",-37.49,-5.52,44.46,-0.25,6251.0,28.8,73,21,52,0.7,2000,2018-02-01,2026-05-08,2026-05-09 23:12:21.982671
57,603179.SH,新泉股份,macd,"MACD(12,26,9)",-38.31,-5.67,74.05,0.02,6169.0,34.9,86,30,56,0.86,2000,2018-02-01,2026-05-08,2026-05-09 23:12:36.082387
48,688551.SH,科威尔,kdj,"KDJ(9,3,3)",-30.29,-6.18,71.13,0.1,6971.0,66.7,3,2,1,16.24,1367,2020-09-10,2026-05-08,2026-05-09 23:12:31.884064
56,603179.SH,新泉股份,ma_cross,"MA(5,20)",-43.5,-6.67,58.96,-0.02,5650.0,32.3,65,21,44,0.79,2000,2018-02-01,2026-05-08,2026-05-09 23:12:35.530845
42,600617.SH,国新能源,macd,"MACD(12,26,9)",-46.71,-7.33,62.45,-0.13,5329.0,32.0,78,25,53,0.71,2000,2018-02-01,2026-05-08,2026-05-09 23:12:29.871714
142,688498.SH,源杰科技,macd,"MACD(12,26,9)",-23.56,-7.64,84.2,0.18,7644.0,30.0,40,12,28,0.9,815,2022-12-21,2026-05-08,2026-05-09 23:13:12.273761
26,000001.SZ,平安银行,ma_cross,"MA(5,20)",-48.61,-7.74,58.62,-0.3,5139.0,28.1,64,18,46,0.68,2000,2018-02-01,2026-05-08,2026-05-09 23:12:23.673192
18,601633.SH,长城汽车,kdj,"KDJ(9,3,3)",-56.39,-9.55,72.34,-0.14,4361.0,85.7,7,6,1,38.55,2000,2018-02-01,2026-05-08,2026-05-09 23:12:20.375793
19,601633.SH,长城汽车,bollinger,"BOLL(20,2)",-59.67,-10.4,71.03,-0.31,4033.0,84.2,19,16,3,31.42,2000,2018-02-01,2026-05-08,2026-05-09 23:12:20.784952
45,600617.SH,国新能源,grid,GRID(10),-63.57,-11.5,73.54,-0.27,3643.0,98.1,106,104,2,872.54,2000,2018-02-01,2026-05-08,2026-05-09 23:12:30.839344
34,300750.SZ,宁德时代,bollinger,"BOLL(20,2)",-66.81,-13.01,78.96,-0.3,3319.0,100.0,15,15,0,0.0,1917,2018-06-11,2026-05-08,2026-05-09 23:12:26.676005
41,600617.SH,国新能源,ma_cross,"MA(5,20)",-70.03,-13.56,72.52,-0.37,2997.0,25.4,71,18,53,0.51,2000,2018-02-01,2026-05-08,2026-05-09 23:12:29.494716
74,300274.SZ,阳光电源,bollinger,"BOLL(20,2)",-70.41,-13.69,76.22,-0.22,2959.0,94.4,18,17,1,239.94,2000,2018-02-01,2026-05-08,2026-05-09 23:12:43.356284
140,688521.SH,芯原股份,grid,GRID(10),-60.89,-15.13,89.78,-0.18,3911.0,98.8,81,80,1,32800.02,1374,2020-08-18,2026-05-08,2026-05-09 23:13:11.741523
